#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         633     1.04984     1.11764  0.00478343
         634       1.057     1.11754  0.00477684
         635     1.06552     1.11746  0.00477002
         636      1.0761      1.1174  0.00476296
         637     1.08926     1.11735  0.00475569
         638     1.10484     1.11733  0.00474828
         639      1.1219     1.11734  0.00474085
         640       1.139     1.11737  0.00473357
         641     1.15462     1.11743  0.00472654
         642     1.16743     1.11751  0.00471982
         643     1.17641      1.1176  0.00471337
         644     1.18091      1.1177  0.00470707
         645     1.18077      1.1178  0.00470079
         646     1.17635     1.11789  0.00469439
         647     1.16851     1.11797  0.00468778
         648     1.15827     1.11803  0.00468096
         649     1.14645     1.11807  0.00467395
         650     1.13359      1.1181  0.00466682
         651     1.12019      1.1181  0.00465966
         652     1.10683     1.11808  0.00465254
         653     1.09429     1.11805  0.00464556
         654     1.08356     1.11799  0.00463875
         655     1.07602     1.11793  0.00463212
         656      1.0733     1.11786  0.00462555
         657     1.07668      1.1178  0.00461894
         658      1.0861     1.11775  0.00461217
         659     1.09954     1.11772  0.00460525
         660     1.11363     1.11772  0.00459828
         661     1.12513     1.11773  0.00459134
         662     1.13209     1.11775  0.00458445
         663      1.1342     1.11777  0.00457761
         664      1.1325      1.1178  0.00457077
         665      1.1288     1.11781  0.00456392
         666     1.12505     1.11782  0.00455708
         667     1.12298     1.11783  0.00455026
         668     1.12374     1.11784  0.00454345
         669     1.12771     1.11786  0.00453669
         670     1.13433     1.11788  0.00452998
         671     1.14222     1.11792  0.00452338
         672     1.14938     1.11796  0.00451689
         673     1.15355     1.11802  0.00451048
         674     1.15257     1.11807  0.00450408
         675     1.14485     1.11811  0.00449759
         676     1.12976     1.11812  0.00449097
         677     1.10811     1.11811  0.00448436
         678     1.08254     1.11806  0.00447805
         679     1.05731     1.11797  0.00447235
         680     1.03753     1.11785  0.00446733
         681     1.02739     1.11772  0.00446275
         682     1.02833     1.11759  0.00445813
         683     1.03851     1.11747  0.00445311
         684     1.05389     1.11738  0.00444756
         685      1.0702     1.11731  0.00444161
         686     1.08425     1.11726  0.00443539
         687     1.09415     1.11723  0.00442906
         688     1.09884      1.1172  0.00442271
         689     1.09762     1.11717  0.00441638
         690     1.09024     1.11713  0.00441015
         691     1.07754     1.11707  0.00440414
         692     1.06255       1.117  0.00439848
         693     1.05053      1.1169  0.00439318
         694     1.04717      1.1168    0.004388
         695     1.05533     1.11671  0.00438258
         696     1.07383     1.11665  0.00437671
         697     1.09887     1.11662  0.00437051
         698     1.12623     1.11664  0.00436427
         699     1.15208     1.11669  0.00435832
         700     1.17311     1.11677  0.00435284
         701     1.18671     1.11687  0.00434777
         702     1.19122     1.11697  0.00434287
         703     1.18619     1.11707  0.00433781
         704     1.17231     1.11715  0.00433235
         705     1.15136      1.1172  0.00432648
         706     1.12601     1.11721  0.00432037
         707     1.09967     1.11719  0.00431433
         708      1.0762     1.11713  0.00430863
         709     1.05919     1.11705  0.00430332
         710     1.05102     1.11695  0.00429827
         711     1.05203     1.11686  0.00429319
         712     1.06047     1.11678  0.00428789
         713     1.07364     1.11672  0.00428231
         714     1.08928     1.11669  0.00427648
         715     1.10602     1.11667  0.00427052
         716      1.1226     1.11668  0.00426457
         717     1.13735     1.11671  0.00425872
         718     1.14855     1.11675  0.00425302
         719     1.15504      1.1168  0.00424744
         720     1.15645     1.11686  0.00424189
         721     1.15286     1.11691   0.0042363
         722     1.14442     1.11695  0.00423061
         723     1.13148     1.11697   0.0042248
         724     1.11511     1.11697  0.00421897
         725     1.09739     1.11694  0.00421324
         726     1.08114     1.11689  0.00420772
         727     1.06927     1.11682  0.00420244
         728     1.06379     1.11675   0.0041973
         729     1.06514     1.11668  0.00419214
         730      1.0721     1.11662  0.00418684
         731     1.08246     1.11657  0.00418138
