#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
             541           1.392         1.33606       0.0383885
             542           2.492         1.33819       0.0383769
             543           1.372         1.33825       0.0383063
             544            0.92         1.33749       0.0382436
             545           0.368         1.33571       0.0382147
             546           0.408         1.33401       0.0381825
             547           0.676          1.3328       0.0381316
             548           2.408         1.33477       0.0381125
             549           2.152         1.33626       0.0380721
             550           1.188         1.33599       0.0380039
             551           1.716         1.33668       0.0379412
             552           1.464         1.33691       0.0378731
             553           0.652         1.33567       0.0378249
             554           0.968           1.335       0.0377624
             555           3.172         1.33831       0.0378392
             556             2.9         1.34112       0.0378752
             557            1.56         1.34152       0.0378093
             558            2.96         1.34442       0.0378526
             559           2.696         1.34683        0.037862
             560           1.612         1.34731       0.0377974
             561           0.828         1.34638       0.0377413
             562           1.124         1.34599       0.0376762
             563           3.032         1.34898       0.0377281
             564           1.248          1.3488       0.0376617
             565            3.18         1.35204       0.0377342
             566           1.684         1.35263       0.0376721
             567           0.464         1.35106       0.0376383
             568           0.832         1.35015       0.0375831
             569           1.116         1.34974       0.0375193
             570            0.82         1.34881        0.037465
             571           3.452         1.35249         0.03758
             572           2.588         1.35465       0.0375763
             573           1.376         1.35469       0.0375108
             574           2.408         1.35652       0.0374903
             575           1.092         1.35606       0.0374279
             576           0.976          1.3554       0.0373687
             577           1.216         1.35516       0.0373047
             578           2.784         1.35763        0.037322
             579           0.868         1.35679       0.0372671
             580           1.432         1.35692       0.0372031
             581           3.836         1.36118        0.037383
             582           0.552         1.35979       0.0373446
             583           1.416         1.35989       0.0372806
             584           1.576         1.36026       0.0372186
             585           2.212         1.36172       0.0371835
             586           1.572         1.36208       0.0371218
             587           2.376          1.3638       0.0370987
             588           1.092         1.36334       0.0370385
             589           0.552         1.36196       0.0370012
             590           0.912          1.3612       0.0369463
             591           0.508         1.35976        0.036912
             592           1.444          1.3599       0.0368499
             593           0.576         1.35858       0.0368115
             594           1.012         1.35799       0.0367542
             595           0.928         1.35727       0.0366995
             596           0.924         1.35654       0.0366451
             597           0.664         1.35538       0.0366021
             598           1.732         1.35601       0.0365463
             599           0.468         1.35453       0.0365153
             600             1.6         1.35494       0.0364568
             601           1.144         1.35459       0.0363978
             602            0.52          1.3532       0.0363637
             603            0.88         1.35242       0.0363119
             604           1.276         1.35229        0.036252
             605           0.948         1.35162       0.0361982
             606           1.072         1.35116       0.0361414
             607           0.616         1.34995       0.0361022
             608           0.772           1.349       0.0360553
             609           1.216         1.34878       0.0359968
             610           0.836         1.34794       0.0359476
             611           0.364         1.34633       0.0359248
             612           0.632         1.34516       0.0358851
             613           0.464         1.34373       0.0358553
             614           0.452         1.34227       0.0358263
             615           0.504         1.34091        0.035794
             616            1.28         1.34081        0.035736
             617           1.144         1.34049       0.0356795
             618           0.836         1.33968       0.0356311
             619           1.528         1.33998       0.0355748
             620           2.988         1.34264       0.0356166
             621           1.588         1.34303       0.0355615
             622           1.352         1.34305       0.0355043
             623           1.344         1.34305       0.0354473
             624           1.108         1.34267       0.0353925
             625           4.672           1.348       0.0357345
             626            1.44         1.34815       0.0356777
             627           1.332         1.34812       0.0356208
             628            1.58         1.34849        0.035566
             629           1.432         1.34862       0.0355097
             630           0.772         1.34771       0.0354652
             631           0.772          1.3468       0.0354207
             632           0.652          1.3457       0.0353817
             633           2.156         1.34698        0.035349
             634           0.888         1.34625       0.0353006
             635           1.884          1.3471       0.0352552
             636           0.956         1.34648       0.0352051
             637           0.404           1.345       0.0351809
             638            0.48         1.34365       0.0351519
             639           1.628         1.34409       0.0350997
             640           0.756         1.34318       0.0350569
             641           1.896         1.34404       0.0350128
             642           1.604         1.34444       0.0349606
             643           1.024         1.34394       0.0349098
             644           2.184         1.34525       0.0348799
             645           3.092         1.34796       0.0349308
             646           0.692         1.34694       0.0348915
             647            0.72         1.34597        0.034851
             648           1.528         1.34625       0.0347984
             649            0.76         1.34535       0.0347565
             650           2.296         1.34681       0.0347338
             651           2.508          1.3486       0.0347262
             652           3.836         1.35241       0.0348819
             653             0.7         1.35141       0.0348427
             654           1.852         1.35218       0.0347979
             655           2.504         1.35394       0.0347892
             656           0.688         1.35292       0.0347509
             657           0.132         1.35106       0.0347477
             658           0.788         1.35021       0.0347054
             659           2.536         1.35201       0.0346994
             660           2.476         1.35371       0.0346886
             661           1.256         1.35356       0.0346364
             662           3.056         1.35613       0.0346794
             663            0.92         1.35548       0.0346333
             664           1.444         1.35561       0.0345814
             665           1.576         1.35594        0.034531
             666            0.82         1.35514       0.0344886
             667           0.804         1.35431       0.0344467
             668           1.248         1.35415       0.0343955
             669           3.044         1.35668       0.0344368
             670           1.384         1.35672       0.0343854
             671           0.428         1.35533        0.034362
             672           0.656         1.35429       0.0343266
             673           1.928         1.35514       0.0342862
             674           1.488         1.35534       0.0342359
             675           0.872         1.35463       0.0341926
             676           1.548         1.35491       0.0341433
             677           0.416         1.35352        0.034121
             678           2.524         1.35525       0.0341143
             679           0.756         1.35437       0.0340755
             680            0.88         1.35367       0.0340325
             681           1.444          1.3538       0.0339828
             682           1.084         1.35341       0.0339353
             683           2.992         1.35581       0.0339703
             684           1.708         1.35632       0.0339245
             685            2.52         1.35802       0.0339175
             686           0.676         1.35703       0.0338826
             687             0.6         1.35592       0.0338512
             688           1.288         1.35583       0.0338022
             689           0.604         1.35473       0.0337707
             690           0.768         1.35388       0.0337325
             691           1.612         1.35426       0.0336857
             692             3.3         1.35707       0.0337542
             693           1.724          1.3576       0.0337096
             694           0.412         1.35624       0.0336886
             695           1.292         1.35614       0.0336402
             696           3.664         1.35946       0.0337549
             697           0.812         1.35867       0.0337156
             698           1.204         1.35845       0.0336681
             699           4.084         1.36235       0.0338449
             700           0.792         1.36154       0.0338064
             701            0.62         1.36048       0.0337747
             702           1.268         1.36035       0.0337269
             703           2.404         1.36183       0.0337115
             704           0.168         1.36014       0.0337063
             705           1.396         1.36019       0.0336585
             706           1.948         1.36102       0.0336211
             707           1.236         1.36084        0.033574
             708            1.54          1.3611       0.0335276
             709           0.864         1.36039       0.0334876
             710           1.728         1.36091       0.0334444
             711           1.892         1.36166       0.0334057
             712           5.708         1.36776        0.033912
             713           4.128         1.37164       0.0340847
             714           2.256         1.37287       0.0340594
             715           1.156         1.37257       0.0340132
             716           1.748         1.37309       0.0339697
             717           0.632         1.37206        0.033938
             718           1.624         1.37241       0.0338926
             719           0.972         1.37186         0.03385
             720           0.872         1.37116       0.0338101
             721           0.724         1.37026       0.0337751
             722            0.94         1.36967       0.0337336
             723           1.428         1.36975       0.0336871
             724           1.252         1.36959       0.0336409
             725            1.44         1.36968       0.0335947
             726           2.184          1.3708       0.0335671
             727           1.072         1.37039       0.0335235
             728           0.544         1.36926       0.0334966
             729           0.872         1.36858       0.0334576
             730            1.22         1.36837       0.0334124
             731           1.804         1.36897        0.033372
             732             0.7         1.36805       0.0333389
             733            1.62          1.3684       0.0332952
             734            0.56          1.3673       0.0332681
             735           0.472         1.36608       0.0332451
             736           2.068         1.36703       0.0332136
             737           0.516         1.36588       0.0331886
             738           2.284         1.36712       0.0331669
             739           1.804         1.36771       0.0331273
             740           2.592         1.36937       0.0331238
             741           0.972         1.36883       0.0330835
             742           0.744         1.36799       0.0330496
             743           0.608         1.36697        0.033021
             744           0.756         1.36615       0.0329868
             745           0.616         1.36514       0.0329579
             746           0.968         1.36461        0.032918
             747           1.248         1.36445       0.0328743
             748           1.844         1.36509       0.0328366
             749             0.4          1.3638        0.032818
             750           1.908         1.36453       0.0327823
             751           2.772          1.3664       0.0327922
             752           1.556         1.36665       0.0327495
             753           2.504         1.36816       0.0327408
             754           1.356         1.36815       0.0326974
             755           0.416         1.36689       0.0326784
             756           0.824         1.36617       0.0326431
             757           0.096         1.36449       0.0326431
             758           2.008         1.36534        0.032611
             759           2.392         1.36669       0.0325961
             760           1.092         1.36633       0.0325552
             761           1.208         1.36612       0.0325131
             762           0.968          1.3656       0.0324746
             763            1.48         1.36575       0.0324324
             764           0.916         1.36516       0.0323953
             765           2.292         1.36637       0.0323756
             766           5.156         1.37132       0.0327092
             767           1.028         1.37087       0.0326696
             768           0.912         1.37028       0.0326325
             769            1.78         1.37081       0.0325944
             770           1.396         1.37084       0.0325521
             771            2.16         1.37187        0.032526
             772           1.028         1.37142       0.0324869
             773           0.248         1.36997       0.0324774
             774            2.04         1.37083       0.0324469
             775           2.548         1.37235       0.0324406
             776           1.604         1.37265       0.0324002
             777           0.952         1.37211        0.032363
             778            2.68         1.37379        0.032365
