#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
             511           -0.02       0.0396477      0.00763387
             512           0.056       0.0396797      0.00761903
             513          -0.156       0.0392982      0.00761372
             514           0.056       0.0393307      0.00759897
             515          -0.044       0.0391689      0.00758594
             516          -0.184       0.0387364      0.00758356
             517          -0.076       0.0385145      0.00757214
             518           0.276        0.038973      0.00757138
             519             0.4       0.0396686      0.00758868
             520           0.148       0.0398769      0.00757695
             521           0.188       0.0401612      0.00756774
             522           0.312        0.040682      0.00757114
             523           0.096       0.0407878       0.0075574
             524          -0.092       0.0405344      0.00754722
             525          -0.256       0.0399695      0.00755395
             526          -0.072       0.0397567      0.00754259
             527     2.77556e-18       0.0396812      0.00752866
             528           0.176       0.0399394      0.00751882
             529          -0.112       0.0396522      0.00751009
             530           0.272       0.0400906      0.00750871
             531           0.132       0.0402637      0.00749656
             532           0.024       0.0402331      0.00748253
             533           0.168       0.0404728      0.00747233
             534           0.032       0.0404569      0.00745836
             535           -0.02       0.0403439      0.00744527
             536           0.036       0.0403358      0.00743139
             537           0.024       0.0403054      0.00741761
             538          -0.092       0.0400595       0.0074079
             539          -0.216       0.0395844      0.00740937
             540           0.256       0.0399852      0.00740648
             541           0.332        0.040525      0.00741243
             542           0.076       0.0405904      0.00739905
             543          -0.296       0.0399705      0.00741134
             544          -0.296       0.0393529       0.0074234
             545          -0.396       0.0385541      0.00745264
             546            0.06       0.0385934      0.00743909
             547           0.164       0.0388227      0.00742902
             548           -0.12       0.0385328      0.00742112
             549           -0.14       0.0382077      0.00741472
             550            0.04       0.0382109      0.00740124
             551           0.072       0.0382722      0.00738806
             552          -0.168       0.0378986      0.00738412
             553           0.052       0.0379241      0.00737082
             554           0.456       0.0386787      0.00739604
             555           0.024       0.0386523      0.00738276
             556          -0.108       0.0383885      0.00737419
             557           0.172       0.0386284      0.00736486
             558           0.016       0.0385878      0.00735177
             559           0.072       0.0386476      0.00733886
             560          -0.088       0.0384214      0.00732924
             561          -0.036       0.0382888      0.00731737
             562           0.008       0.0382349      0.00730455
             563            -0.3       0.0376341      0.00731624
             564          -0.196       0.0372199      0.00731499
             565           -0.14       0.0369062      0.00730876
             566           0.164       0.0371307       0.0072993
             567           0.096       0.0372346      0.00728716
             568           0.056       0.0372676      0.00727441
             569            0.02       0.0372373      0.00726169
             570           0.212       0.0375439      0.00725542
             571           0.244       0.0379054      0.00725172
             572             0.1        0.038014      0.00723985
             573           0.028       0.0379965      0.00722724
             574           0.064       0.0380418      0.00721479
             575          -0.036        0.037913      0.00720339
             576           0.064       0.0379583      0.00719102
             577           0.108       0.0380797      0.00717959
             578            0.34       0.0386021      0.00718614
             579            0.22       0.0389154      0.00718056
             580           0.068       0.0389655      0.00716835
             581          -0.028       0.0388503      0.00715694
             582          -0.136       0.0385498      0.00715095
             583            0.02        0.038518      0.00713875
             584           0.032       0.0385068      0.00712654
