#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
             700          0.2592        0.157534      0.00304972
             701          0.0808        0.157424      0.00304733
             702          0.2312        0.157529       0.0030448
             703          0.1128        0.157466      0.00304113
             704           0.116        0.157407      0.00303738
             705          0.1888        0.157451       0.0030334
             706          0.2088        0.157524      0.00302998
             707          0.1032        0.157447      0.00302667
             708          0.1408        0.157424      0.00302248
             709           0.132        0.157388      0.00301843
             710           0.132        0.157352      0.00301439
             711          0.0992         0.15727      0.00301126
             712           0.116        0.157212      0.00300759
             713          0.3112        0.157428      0.00301112
             714          0.1288        0.157388      0.00300717
             715          0.0712        0.157268      0.00300538
             716          0.1152        0.157209      0.00300175
             717          0.2248        0.157303      0.00299905
             718           0.068        0.157179      0.00299745
             719          0.3912        0.157504       0.0030109
             720          0.1632        0.157512      0.00300673
             721           0.096        0.157427      0.00300377
             722          0.0928        0.157337      0.00300094
             723          0.0512        0.157191      0.00300038
             724           0.068        0.157067      0.00299876
             725          0.1192        0.157015      0.00299508
             726          0.1408        0.156993      0.00299104
             727          0.0712        0.156875      0.00298925
             728          0.1312         0.15684      0.00298535
             729           0.148        0.156827      0.00298128
             730           0.164        0.156837      0.00297721
             731          0.0448        0.156684      0.00297708
             732          0.2088        0.156755      0.00297387
             733          0.2048        0.156821      0.00297053
             734           0.212        0.156896      0.00296744
             735          0.1192        0.156845      0.00296384
             736          0.0808        0.156741      0.00296162
