#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
             684           2.172         1.33595       0.0414784
             685           1.028          1.3355       0.0414203
             686           2.492         1.33719       0.0413942
             687            2.64         1.33909       0.0413774
             688           0.668         1.33811       0.0413287
             689           3.396          1.3411       0.0413765
             690           2.696         1.34306       0.0413631
             691           0.816          1.3423       0.0413103
             692           1.768         1.34291       0.0412552
             693           1.064         1.34251       0.0411976
             694            2.96         1.34484       0.0412041
             695           0.996         1.34434       0.0411479
             696           3.084         1.34684       0.0411646
             697            0.46         1.34557       0.0411252
             698           0.376         1.34418       0.0410897
             699            1.04         1.34374       0.0410333
             700           1.444         1.34389       0.0409749
             701           2.112         1.34498       0.0409311
             702            2.32         1.34637       0.0408963
             703           0.872          1.3457       0.0408437
             704           0.248         1.34414       0.0408155
             705            1.06         1.34373       0.0407596
             706           0.244         1.34218       0.0407316
             707             0.5         1.34098       0.0406914
             708           1.088         1.34063       0.0406355
             709            1.16         1.34037        0.040579
             710           1.748         1.34095       0.0405259
             711           1.876          1.3417       0.0404759
             712           0.744         1.34086       0.0404277
             713           1.888         1.34163       0.0403783
             714            2.58         1.34336        0.040359
             715           1.292         1.34329       0.0403026
             716           1.416         1.34339       0.0402464
             717           1.352          1.3434       0.0401903
             718            1.12         1.34309       0.0401355
             719           0.484          1.3419       0.0400975
             720            0.16         1.34026       0.0400754
             721           1.196         1.34006       0.0400203
             722           2.688         1.34192       0.0400084
             723           3.016         1.34424         0.04002
             724           1.376         1.34428       0.0399648
             725            0.56          1.3432       0.0399243
             726           0.996         1.34272       0.0398721
             727            0.22         1.34118       0.0398472
             728           0.912         1.34059       0.0397968
             729            2.76         1.34253       0.0397898
             730           2.748         1.34446       0.0397819
             731            1.34         1.34445       0.0397275
             732           0.828         1.34375       0.0396795
             733           1.272         1.34365       0.0396254
             734           2.712         1.34551       0.0396153
             735            0.78         1.34475       0.0395689
             736           0.528         1.34364       0.0395307
             737           1.052         1.34324        0.039479
             738             0.3         1.34183       0.0394508
             739           1.112         1.34152       0.0393986
             740           2.448         1.34301       0.0393738
             741             0.6         1.34201       0.0393334
             742           0.416         1.34076       0.0393002
             743           1.196         1.34057       0.0392478
             744           1.468         1.34074       0.0391954
             745           1.272         1.34064       0.0391429
             746           0.488          1.3395       0.0391071
             747           0.536         1.33843       0.0390695
             748           0.688         1.33756        0.039027
             749           2.296         1.33884       0.0389958
             750             2.5         1.34038       0.0389746
             751            0.74         1.33958       0.0389309
             752            1.08         1.33924       0.0388806
             753           0.708          1.3384        0.038838
             754            1.08         1.33806        0.038788
             755           3.152         1.34046        0.038811
             756           2.024         1.34137       0.0387702
             757           1.552         1.34164         0.03872
             758           1.116         1.34135         0.03867
             759           0.984         1.34087        0.038622
             760           0.976         1.34039       0.0385741
             761            1.18         1.34018        0.038524
             762            1.42         1.34029       0.0384736
             763           0.732         1.33949       0.0384314
             764           0.972         1.33901       0.0383841
             765           1.096         1.33869       0.0383353
             766           1.392         1.33876       0.0382853
             767           0.628         1.33784       0.0382466
             768           1.452         1.33798       0.0381971
             769           1.084         1.33765       0.0381488
             770           1.168         1.33743       0.0380999
             771           1.816         1.33805       0.0380556
             772            1.28         1.33798       0.0380063
             773           3.684         1.34101       0.0380782
             774             3.7         1.34406       0.0381507
             775           1.096         1.34374       0.0381029
             776           1.992         1.34458       0.0380629
             777           2.928         1.34662       0.0380684
             778           0.656         1.34573       0.0380299
             779           0.588         1.34475       0.0379935
             780           0.732         1.34397       0.0379529
