#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         630     1.55465     1.67698  0.00720289
         631     1.55852      1.6768  0.00719392
         632      1.5656     1.67662  0.00718469
         633     1.57476     1.67646  0.00717514
         634      1.5855     1.67632  0.00716526
         635     1.59828     1.67619  0.00715503
         636     1.61416      1.6761  0.00714445
         637     1.63389     1.67603  0.00713354
         638     1.65726       1.676  0.00712242
         639     1.68284     1.67601  0.00711128
         640     1.70849     1.67606  0.00710035
         641     1.73193     1.67615  0.00708981
         642     1.75114     1.67627  0.00707973
         643     1.76461      1.6764  0.00707005
         644     1.77136     1.67655  0.00706061
         645     1.77115      1.6767  0.00705118
         646     1.76452     1.67683  0.00704158
         647     1.75276     1.67695  0.00703167
         648     1.73741     1.67704  0.00702144
         649     1.71967     1.67711  0.00701093
         650     1.70039     1.67714  0.00700023
         651     1.68028     1.67715  0.00698948
         652     1.66025     1.67712  0.00697881
         653     1.64143     1.67707  0.00696834
         654     1.62534     1.67699  0.00695813
         655     1.61403     1.67689  0.00694817
         656     1.60995     1.67679  0.00693833
         657     1.61502      1.6767  0.00692841
         658     1.62915     1.67663  0.00691825
         659     1.64931     1.67658  0.00690788
         660     1.67045     1.67657  0.00689742
         661      1.6877     1.67659  0.00688701
         662     1.69813     1.67662  0.00687668
         663      1.7013     1.67666  0.00686641
         664     1.69876     1.67669  0.00685615
         665     1.69319     1.67672  0.00684588
         666     1.68757     1.67674  0.00683562
         667     1.68446     1.67675  0.00682538
         668     1.68562     1.67676  0.00681518
         669     1.69156     1.67678  0.00680503
         670     1.70149     1.67682  0.00679497
         671     1.71333     1.67687  0.00678506
         672     1.72407     1.67694  0.00677533
         673     1.73032     1.67702  0.00676573
         674     1.72886      1.6771  0.00675613
         675     1.71728     1.67716  0.00674638
         676     1.69464     1.67719  0.00673645
         677     1.66217     1.67716  0.00672653
         678     1.62381     1.67708  0.00671707
         679     1.58597     1.67695  0.00670852
         680      1.5563     1.67677    0.006701
         681     1.54108     1.67657  0.00669412
         682      1.5425     1.67638  0.00668719
         683     1.55776      1.6762  0.00667966
         684     1.58083     1.67606  0.00667135
         685      1.6053     1.67596  0.00666241
         686     1.62638     1.67589  0.00665309
         687     1.64123     1.67584   0.0066436
         688     1.64825      1.6758  0.00663406
         689     1.64643     1.67576  0.00662457
         690     1.63535      1.6757  0.00661523
         691     1.61632     1.67561  0.00660621
         692     1.59382     1.67549  0.00659772
         693      1.5758     1.67535  0.00658977
         694     1.57075      1.6752    0.006582
         695       1.583     1.67507  0.00657386
         696     1.61074     1.67497  0.00656507
         697      1.6483     1.67494  0.00655576
         698     1.68934     1.67496   0.0065464
         699     1.72813     1.67503  0.00653748
         700     1.75967     1.67515  0.00652926
         701     1.78006      1.6753  0.00652166
         702     1.78684     1.67546   0.0065143
         703     1.77929     1.67561  0.00650671
         704     1.75847     1.67573  0.00649853
         705     1.72704      1.6758  0.00648972
         706     1.68902     1.67582  0.00648056
         707     1.64951     1.67578   0.0064715
         708      1.6143     1.67569  0.00646294
         709     1.58879     1.67557  0.00645499
         710     1.57654     1.67543   0.0064474
         711     1.57805      1.6753  0.00643979
         712     1.59071     1.67518  0.00643184
         713     1.61045     1.67509  0.00642346
         714     1.63393     1.67503  0.00641472
         715     1.65903     1.67501  0.00640579
         716     1.68389     1.67502  0.00639685
         717     1.70603     1.67506  0.00638808
         718     1.72283     1.67513  0.00637953
         719     1.73256     1.67521  0.00637115
         720     1.73468     1.67529  0.00636284
         721     1.72929     1.67536  0.00635446
         722     1.71662     1.67542  0.00634591
         723     1.69721     1.67545  0.00633721
         724     1.67267     1.67545  0.00632845
         725     1.64609     1.67541  0.00631986
         726     1.62171     1.67533  0.00631158
         727     1.60391     1.67524  0.00630367
         728     1.59568     1.67513  0.00629595
         729     1.59771     1.67502  0.00628821
         730     1.60815     1.67493  0.00628027
         731     1.62369     1.67486  0.00627207
